Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3
Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Acceleration 1 Resultant,Angular Velocity - y (rad/s),Angular Velocity - z (rad/s),Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Acceleration 2 resultant ,Angular Velocity - y (rad/s),Angular Velocity - z (rad/s),Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Accelertation 3 Resultant,Angular Velocity - y (rad/s),Angular Velocity - z (rad/s)
0.3,,,,0,,,0.3,,,,,,,,,,,,,,,,,,,
0.2,,,,0.7,,,0,,,,,,,,,,,,,,,,,,,
0.2,,,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,
0.3,,,,0.5,,,0.3,,,,,,,,,,,,,,,,,,,
0.2,,,,0.1,,,0.3,,,,,,,,,,,,,,,,,,,
0.2,,,,0,,,0,,,,,,,,,,,,,,,,,,,
0.3,,,,0.5,,,0.1,,,,,,,,,,,,,,,,,,,
0.2,,,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,
0.2,,,,0.2,,,-0.1,,,,,,,,,,,,,,,,,,,
0.2,,,,0.1,,,0.3,,,,,,,,,,,,,,,,,,,
0.2,,,,0.2,,,0.1,,,,,,,,,,,,,,,,,,,
0.2,,,,0.2,,,0,,,,,,,,,,,,,,,,,,,
0.2,,,,0,,,0.1,,,,,,,,,,,,,,,,,,,
0.2,,,,0.7,,,0.1,,,,,,,,,,,,,,,,,,,
0.2,,,,0.1,,,0.1,,,,,,,,,,,,,,,,,,,
0.3,,,,-0.2,,,0.3,,,,,,,,,,,,,,,,,,,
0.3,,,,-8.3,,,-0.3,,,,,,,,,,,,,,,,,,,
0.6,,,,-5,,,0.5,,,,,,,,,,,,,,,,,,,
0.3,,,,-3.7,,,-0.6,,,,,,,,,,,,,,,,,,,
-2,,,,2.3,,,-2.1,,,,,,,,,,,,,,,,,,,
-4.1,,,,0.2,,,-2.9,,,,,,,,,,,,,,,,,,,
-4.4,,,,4.5,,,-5.1,,,,,,,,,,,,,,,,,,,
-2.9,,,,6.5,,,-6,,,,,,,,,,,,,,,,,,,
-5,,,,6.2,,,0.8,,,,,,,,,,,,,,,,,,,
0.8,,,,9.1,,,1.1,,,,,,,,,,,,,,,,,,,
5,,,,5.4,,,5.2,,,,,,,,,,,,,,,,,,,
6,,,,7.3,,,7.3,,,,,,,,,,,,,,,,,,,
6.6,,,,11.5,,,9.2,,,,,,,,,,,,,,,,,,,
7.8,,,,14.6,,,10.6,,,,,,,,,,,,,,,,,,,
6.5,,,,11.6,,,12.2,,,,,,,,,,,,,,,,,,,
5.7,,,,0.8,,,14.8,,,,,,,,,,,,,,,,,,,
9.4,,,,11.6,,,12.7,,,,,,,,,,,,,,,,,,,
12.9,,,,4.6,,,-2.9,,,,,,,,,,,,,,,,,,,
13.9,,,,-0.8,,,17,,,,,,,,,,,,,,,,,,,
2.4,,,,-6.2,,,0.9,,,,,,,,,,,,,,,,,,,
23.2,,,,-8.5,,,2,,,,,,,,,,,,,,,,,,,
1.2,,,,-7.5,,,-4.3,,,,,,,,,,,,,,,,,,,
-0.5,,,,-8.3,,,-3.9,,,,,,,,,,,,,,,,,,,
-5.7,,,,-6.8,,,-4.1,,,,,,,,,,,,,,,,,,,
-8.4,,,,4.3,,,-8.2,,,,,,,,,,,,,,,,,,,
-6.9,,,,15.3,,,-7.5,,,,,,,,,,,,,,,,,,,
-6.3,,,,2,,,15.5,,,,,,,,,,,,,,,,,,,
-6.7,,,,13.8,,,12.3,,,,,,,,,,,,,,,,,,,
-5.2,,,,9,,,15.6,,,,,,,,,,,,,,,,,,,
42.4,,,,10.5,,,9.8,,,,,,,,,,,,,,,,,,,
8.1,,,,6.5,,,8.1,,,,,,,,,,,,,,,,,,,
12.5,,,,5,,,7.9,,,,,,,,,,,,,,,,,,,
10.1,,,,-3.4,,,2.8,,,,,,,,,,,,,,,,,,,
